date,year,month,day
2017-10-02,2017,10,2
2018-07-24,2018,7,24
2018-08-08,2018,8,8
2017-11-18,2017,11,18
2018-02-13,2018,2,13
2017-07-09,2017,7,9
2017-04-11,2017,4,11
2017-05-16,2017,5,16
2017-01-23,2017,1,23
2017-07-29,2017,7,29
2017-07-13,2017,7,13
2018-06-07,2018,6,7
2018-07-25,2018,7,25
2018-03-01,2018,3,1
2018-01-02,2018,1,2
2017-12-26,2017,12,26
2017-11-21,2017,11,21
2017-10-26,2017,10,26
2017-09-18,2017,9,18
2018-03-15,2018,3,15
2018-02-03,2018,2,3
2018-01-08,2018,1,8
2018-08-09,2018,8,9
2018-02-20,2018,2,20
2018-06-04,2018,6,4
2018-03-12,2018,3,12
2018-05-02,2018,5,2
2018-02-25,2018,2,25
2017-08-10,2017,8,10
2018-04-16,2018,4,16
2017-12-12,2017,12,12
2018-07-29,2018,7,29
2018-02-17,2018,2,17
2018-02-21,2018,2,21
2017-07-31,2017,7,31
2018-06-01,2018,6,1
2018-03-26,2018,3,26
2017-05-19,2017,5,19
2017-11-24,2017,11,24
2017-08-04,2017,8,4
2018-08-04,2018,8,4
2017-05-18,2017,5,18
2017-05-14,2017,5,14
2018-05-17,2018,5,17
2017-08-09,2017,8,9
2018-02-01,2018,2,1
2018-06-26,2018,6,26
2018-07-26,2018,7,26
2017-12-15,2017,12,15
2017-08-31,2017,8,31
2018-06-11,2018,6,11
2018-03-09,2018,3,9
2017-03-13,2017,3,13
2017-06-13,2017,6,13
2017-11-30,2017,11,30
2018-08-05,2018,8,5
2017-11-15,2017,11,15
2018-02-19,2018,2,19
2018-04-22,2018,4,22
2018-01-07,2018,1,7
2018-02-10,2018,2,10
2018-06-18,2018,6,18
2018-06-13,2018,6,13
2018-07-15,2018,7,15
2017-09-13,2017,9,13
2018-04-13,2018,4,13
2018-02-15,2018,2,15
2017-02-20,2017,2,20
2017-04-20,2017,4,20
2017-09-15,2017,9,15
2018-07-28,2018,7,28
2018-08-26,2018,8,26
2017-07-30,2017,7,30
2017-12-22,2017,12,22
2017-04-06,2017,4,6
2017-05-09,2017,5,9
2017-10-16,2017,10,16
2017-12-08,2017,12,8
2017-08-26,2017,8,26
2018-02-27,2018,2,27
2018-05-11,2018,5,11
2018-01-22,2018,1,22
2018-05-01,2018,5,1
2017-09-19,2017,9,19
2018-04-11,2018,4,11
2017-12-20,2017,12,20
2018-08-03,2018,8,3
2018-05-14,2018,5,14
2017-11-22,2017,11,22
2017-03-30,2017,3,30
2018-06-05,2018,6,5
2017-05-17,2017,5,17
2018-07-30,2018,7,30
2018-02-06,2018,2,6
2017-01-28,2017,1,28
2018-01-27,2018,1,27
2017-07-01,2017,7,1
2017-09-27,2017,9,27
2017-11-28,2017,11,28
2018-08-22,2018,8,22
2018-07-06,2018,7,6
2018-05-09,2018,5,9
2017-11-26,2017,11,26
2017-09-29,2017,9,29
2017-06-27,2017,6,27
2018-01-23,2018,1,23
2018-08-20,2018,8,20
2018-01-30,2018,1,30
2018-03-31,2018,3,31
2018-03-07,2018,3,7
2018-05-08,2018,5,8
2018-04-25,2018,4,25
2017-07-16,2017,7,16
2017-09-03,2017,9,3
2017-10-19,2017,10,19
2018-07-22,2018,7,22
2017-12-02,2017,12,2
2018-01-09,2018,1,9
2018-07-18,2018,7,18
2017-03-28,2017,3,28
2018-06-08,2018,6,8
2017-07-10,2017,7,10
2018-05-16,2018,5,16
2018-07-05,2018,7,5
2017-09-20,2017,9,20
2018-01-10,2018,1,10
2017-04-26,2017,4,26
2017-11-27,2017,11,27
2018-05-25,2018,5,25
2017-11-17,2017,11,17
2018-07-23,2018,7,23
2018-02-14,2018,2,14
2017-04-30,2017,4,30
2017-05-15,2017,5,15
2017-07-22,2017,7,22
2018-06-24,2018,6,24
2018-07-02,2018,7,2
2017-03-06,2017,3,6
2017-10-04,2017,10,4
2017-12-21,2017,12,21
2018-02-02,2018,2,2
2018-04-26,2018,4,26
2018-05-30,2018,5,30
2018-03-29,2018,3,29
2018-06-25,2018,6,25
2017-09-11,2017,9,11
2018-04-15,2018,4,15
2018-01-13,2018,1,13
2018-04-04,2018,4,4
2017-09-26,2017,9,26
2018-02-28,2018,2,28
2017-04-22,2017,4,22
2018-01-18,2018,1,18
2017-03-14,2017,3,14
2017-12-04,2017,12,4
2017-06-16,2017,6,16
2017-07-05,2017,7,5
2018-07-27,2018,7,27
2017-07-08,2017,7,8
2017-06-25,2017,6,25
2018-05-15,2018,5,15
2018-07-13,2018,7,13
2017-08-01,2017,8,1
2018-07-21,2018,7,21
2017-03-09,2017,3,9
2017-12-09,2017,12,9
2018-08-01,2018,8,1
2018-04-09,2018,4,9
2017-04-27,2017,4,27
2017-12-06,2017,12,6
2017-06-05,2017,6,5
2017-09-12,2017,9,12
2018-06-03,2018,6,3
2018-05-23,2018,5,23
2018-08-10,2018,8,10
2018-04-18,2018,4,18
2018-02-05,2018,2,5
2017-11-16,2017,11,16
2018-01-31,2018,1,31
2018-01-11,2018,1,11
2017-06-04,2017,6,4
2017-07-17,2017,7,17
2018-04-17,2018,4,17
2017-12-11,2017,12,11
2018-05-04,2018,5,4
2017-12-17,2017,12,17
2018-03-18,2018,3,18
2017-01-05,2017,1,5
2017-12-24,2017,12,24
2017-11-29,2017,11,29
2018-04-03,2018,4,3
2018-01-25,2018,1,25
2018-06-16,2018,6,16
2017-07-02,2017,7,2
2018-01-16,2018,1,16
2018-02-22,2018,2,22
2018-03-30,2018,3,30
2017-02-12,2017,2,12
2018-06-06,2018,6,6
2017-02-08,2017,2,8
2018-06-30,2018,6,30
2017-10-05,2017,10,5
2018-04-10,2018,4,10
2018-02-08,2018,2,8
2018-07-12,2018,7,12
2018-02-11,2018,2,11
2018-03-17,2018,3,17
2018-05-07,2018,5,7
2018-01-24,2018,1,24
2018-06-09,2018,6,9
2017-11-11,2017,11,11
2018-06-28,2018,6,28
2017-11-13,2017,11,13
2018-01-12,2018,1,12
2017-07-24,2017,7,24
2017-06-29,2017,6,29
2018-01-19,2018,1,19
2018-03-27,2018,3,27
2017-01-21,2017,1,21
2017-12-07,2017,12,7
2018-06-12,2018,6,12
2018-07-03,2018,7,3
